id,name,salary_from,salary_to,salary_currency,experience,employment,schedule,city,company,description,skills,url
1,DevOps Engineer,,262000.0,RUR,between1And3,full,shift,Новосибирск,Positive Technologies,Исследование и внедрение новых подходов в области машинного обучения,Docker;Kubernetes;Terraform;Jenkins;Linux,https://hh.ru/vacancy/1
2,Junior Data Scientist,500.0,,EUR,between3And6,full,fullDay,Москва,JetBrains,Разработка API и интеграция с внешними сервисами и базами данных,Python;pandas;sklearn;numpy;SQL;Linux,https://hh.ru/vacancy/2
3,Java Developer,89000.0,251000.0,RUR,between1And3,full,remote,Москва,1С,Сопровождение и развитие MLOps платформы для команды data science,Java;Spring;Kafka;PostgreSQL;Docker;GraphQL;Elasticsearch,https://hh.ru/vacancy/3
4,Junior Data Scientist,80000.0,,RUR,moreThan6,full,fullDay,Москва,Ростелеком,Разработка NLP-систем для обработки текстов на русском и английском языках,Python;pandas;sklearn;numpy;SQL,https://hh.ru/vacancy/4
5,Junior Python Developer,71000.0,,RUR,noExperience,full,remote,Екатеринбург,МТС,Разработка NLP-систем для обработки текстов на русском и английском языках,Python;FastAPI;PostgreSQL;Docker;Git;Agile;REST API,https://hh.ru/vacancy/5
6,Middle ML Engineer,124000.0,280000.0,RUR,noExperience,full,fullDay,Нижний Новгород,Тинькофф,Работа с большими объёмами данных в Spark и Hadoop кластерах,Python;PyTorch;Kubernetes;MLflow;Airflow,https://hh.ru/vacancy/6
7,Junior DevOps Engineer,143000.0,278000.0,RUR,between1And3,full,flexible,Уфа,Mail.ru,Исследование и внедрение новых подходов в области машинного обучения,Docker;Kubernetes;Terraform;Jenkins;Linux;Linux,https://hh.ru/vacancy/7
8,Lead Frontend Developer,71000.0,142000.0,RUR,between1And3,full,fullDay,Москва,Лаборатория Касперского,Внедрение CI/CD процессов и автоматизация деплоя моделей в продакшн,JavaScript;React;TypeScript;CSS;HTML,https://hh.ru/vacancy/8
9,Product Analyst,65000.0,153000.0,RUR,between1And3,full,fullDay,Екатеринбург,Авито,Исследование и внедрение новых подходов в области машинного обучения,SQL;Python;Amplitude;Mixpanel;A/B testing;Linux,https://hh.ru/vacancy/9
10,Senior Python Developer,179000.0,400000.0,RUR,between3And6,full,flexible,Москва,2ГИС,Создание рекомендательных систем на основе коллаборативной фильтрации,Python;FastAPI;PostgreSQL;Docker;Kubernetes;Redis;MongoDB;Linux,https://hh.ru/vacancy/10
11,Computer Vision Engineer,217000.0,517000.0,RUR,moreThan6,full,fullDay,Казань,VK,Разработка и оптимизация алгоритмов обработки данных в режиме реального времени,Python;OpenCV;PyTorch;CUDA;TensorFlow;Linux,https://hh.ru/vacancy/11
12,Staff Python Developer,,181000.0,RUR,noExperience,full,fullDay,Казань,Яндекс,Участие в исследованиях в области компьютерного зрения и обработки изображений,Python;FastAPI;PostgreSQL;Docker;Git;Agile;Git,https://hh.ru/vacancy/12
13,Business Analyst,,178000.0,RUR,between3And6,full,remote,Санкт-Петербург,2ГИС,Разработка мобильных приложений с использованием современных технологий,SQL;Excel;Tableau;Power BI;BPMN;Git;Scrum,https://hh.ru/vacancy/13
14,Junior Python Developer,93000.0,214000.0,RUR,between3And6,full,remote,Краснодар,Luxoft,Разработка мобильных приложений с использованием современных технологий,Python;FastAPI;PostgreSQL;Docker;Git,https://hh.ru/vacancy/14
15,Middle Python Developer,86000.0,,RUR,between1And3,part,fullDay,Казань,Mail.ru,Работа с большими объёмами данных в Spark и Hadoop кластерах,Python;FastAPI;PostgreSQL;Docker;Git;Elasticsearch;Git,https://hh.ru/vacancy/15
16,NLP Engineer,177000.0,359000.0,RUR,between3And6,full,fullDay,Новосибирск,Акрос,Анализ больших данных и построение дата-пайплайнов для бизнеса,Python;BERT;HuggingFace;PyTorch;spaCy,https://hh.ru/vacancy/16
17,Senior Product Analyst,86000.0,168000.0,RUR,between3And6,full,remote,Краснодар,2ГИС,Сопровождение и развитие MLOps платформы для команды data science,SQL;Python;Amplitude;Mixpanel;A/B testing,https://hh.ru/vacancy/17
18,Android Developer,83000.0,163000.0,RUR,between1And3,full,remote,Екатеринбург,Сколтех,Разработка backend сервисов на Python с использованием современных фреймворков,Kotlin;Android;Java;Git;REST API,https://hh.ru/vacancy/18
19,Lead Business Analyst,78000.0,181000.0,RUR,between3And6,project,remote,Санкт-Петербург,Positive Technologies,Сопровождение и развитие MLOps платформы для команды data science,SQL;Excel;Tableau;Power BI;BPMN;GraphQL,https://hh.ru/vacancy/19
20,Business Analyst,67000.0,150000.0,RUR,between1And3,full,remote,Воронеж,Wrike,Разработка API и интеграция с внешними сервисами и базами данных,SQL;Excel;Tableau;Power BI;BPMN;GraphQL;MongoDB,https://hh.ru/vacancy/20
21,Lead Computer Vision Engineer,127000.0,270000.0,RUR,noExperience,full,flexible,Москва,Сбер,Анализ больших данных и построение дата-пайплайнов для бизнеса,Python;OpenCV;PyTorch;CUDA;TensorFlow;Scrum;gRPC,https://hh.ru/vacancy/21
22,Middle MLOps Engineer,162000.0,395000.0,RUR,between3And6,part,fullDay,Воронеж,Озон,Разработка API и интеграция с внешними сервисами и базами данных,Python;Docker;Kubernetes;MLflow;Airflow;Elasticsearch,https://hh.ru/vacancy/22
23,Product Analyst,82000.0,183000.0,RUR,between3And6,full,shift,Екатеринбург,Luxoft,Анализ больших данных и построение дата-пайплайнов для бизнеса,SQL;Python;Amplitude;Mixpanel;A/B testing,https://hh.ru/vacancy/23
24,Senior Go Developer,100000.0,211000.0,RUR,noExperience,full,remote,Волгоград,Ростелеком,Сопровождение и развитие MLOps платформы для команды data science,Go;gRPC;PostgreSQL;Redis;Kubernetes;Elasticsearch;Scrum,https://hh.ru/vacancy/24
25,Junior Data Scientist,58000.0,110000.0,RUR,between3And6,project,remote,Санкт-Петербург,2ГИС,Разработка мобильных приложений с использованием современных технологий,Python;pandas;sklearn;numpy;SQL,https://hh.ru/vacancy/25
26,Android Developer,97000.0,,RUR,between3And6,volunteer,fullDay,Москва,Wrike,Разработка backend сервисов на Python с использованием современных фреймворков,Kotlin;Android;Java;Git;REST API;MongoDB,https://hh.ru/vacancy/26
