name,experience,employment,schedule,city,company,description,skills,category,level,salary_from,salary_to,salary
Программист 1C,noExperience,full,fullDay,Санкт-Петербург,Тэсонэро,"Приглашаем Middle специалиста для работы над продуктом компании. Работа в кросс-функциональной команде, участие в code review, помощь junior-коллегам. Основной инструментарий: SQL, Linux, Python. Прозрачный карьерный рост, ДМС, корпоративные мероприятия.",Linux;Git;Docker;SQL;Python,Engineer,middle,100000.0,,100000.0
Tech Lead,between3And6,full,flexible,Удалённо,СберТех,"Открыта позиция Middle инженера для решения нетривиальных задач. Работа в кросс-функциональной команде, участие в code review, помощь junior-коллегам. Ключевые технологии стека: Git, Go, Linux, Docker. Оплата обучения и сертификаций, ДМС, гибридный формат работы.",Go;Git;Linux;Docker;PostgreSQL,Engineer,middle,70000.0,95000.0,80000.0
Middle Software Developer,between3And6,part,fullDay,Новосибирск,VK,"Приглашаем Middle специалиста для работы над продуктом компании. Самостоятельная разработка фич, участие в code review, взаимодействие с командой. Основной инструментарий: Linux, Git. Конкурентная зарплата с ежегодным ревью, ДМС, оплата конференций.",Go;Git;Linux;Docker;PostgreSQL,Engineer,middle,110000.0,140000.0,125000.0
Руководитель отдела продаж (1С),between1And3,full,fullDay,Москва,ОООАссистент,"Ищем Lead IT-специалиста для работы над технически сложными задачами. Техническое руководство командой, постановка задач, взаимодействие со стейкхолдерами. Ключевые технологии стека: Docker, Python, Git. Официальное оформление, ДМС, корпоративное обучение и конференции.",Git;Python;Linux;Docker,Engineer,lead,140000.0,,140000.0
Инженер-проектировщик,between1And3,full,fullDay,Нижний Новгород,"ОООТЭМП, НПФ","Приглашаем Middle специалиста для работы над продуктом компании. Разработка новых функциональных возможностей, оптимизация кода, документирование. Ключевые технологии стека: Python, Git, Linux. Прозрачный карьерный рост, ДМС, корпоративные мероприятия.",Linux;Python;Git,Engineer,middle,120000.0,,120000.0
Программист 1С,between1And3,full,fullDay,Курск,ООО Эко Море,"Ищем Middle IT-специалиста для работы над технически сложными задачами. Разработка новых функциональных возможностей, оптимизация кода, документирование. Основной инструментарий: Linux, Docker. Белая зарплата, ДМС, компенсация спорта, обучение за счёт компании.",SQL;Docker;Linux,Engineer,middle,80000.0,,80000.0
Инженер-проектировщик теплотехнического отдела,between1And3,full,fullDay,Санкт-Петербург,ОАО Ленгидропроект,"Приглашаем Middle специалиста для работы над продуктом компании. Разработка и поддержка компонентов системы, написание тестов, участие в планировании. Ожидаем уверенное владение Docker, Linux, Python. Стабильная компания, интересные технические проекты, сильная культура.",Git;Python;Linux;Docker,Engineer,middle,100000.0,,100000.0
Junior Software Engineer,between3And6,project,fullDay,Казань,Selectel,"Открыта позиция Middle инженера для решения нетривиальных задач. Разработка и поддержка компонентов системы, написание тестов, участие в планировании. Основной инструментарий: Linux, Docker, Python, SQL. Интересные задачи, сильная инженерная команда, гибкий рабочий день.",Python;Git;Linux;Docker;SQL,Engineer,middle,65000.0,90000.0,80000.0
Junior Software Engineer,between3And6,full,fullDay,Москва,СберТех,"Ищем Middle IT-специалиста для работы над технически сложными задачами. Разработка новых функциональных возможностей, оптимизация кода, документирование. Ожидаем уверенное владение Git, Linux, Java, Docker. Стабильная компания, интересные технические проекты, сильная культура.",Java;Git;Linux;Docker;SQL,Engineer,middle,100000.0,125000.0,120000.0
Tech Lead,between3And6,full,remote,Краснодар,Озон,"Приглашаем Middle специалиста для работы над продуктом компании. Реализация задач по техническому дизайну, участие в ретроспективах и планировании. Ключевые технологии стека: Java, Docker, SQL, Git. Прозрачный карьерный рост, ДМС, корпоративные мероприятия.",Java;Git;Linux;Docker;SQL,Engineer,middle,75000.0,95000.0,80000.0
